Province,Destination,Occupation,Skill_Level,Sex,Age_Group,Mode_of_Approval,Risk_Score,Risk_Category,Injury_Probability,Illness_Probability,Injury_Occurred,Illness_Occurred,Years_Experience,Monthly_Salary_USD,Contract_Duration_Months
Bagmati,Japan,Healthcare,Skilled,Male,18-24,Recruitment Agency,1,Low,0.026,0.079,0,0,6,417,12
Karnali,Saudi Arabia,Driving,Skilled,Male,18-24,Recruitment Agency,5,Medium,0.078,0.177,0,0,1,439,12
Madhesh,Oman,Cleaning,Unskilled,Female,25-34,Recruitment Agency,4,Medium,0.103,0.105,1,0,8,620,12
Province 1,Qatar,Construction,Semi-skilled,Male,35-44,Recruitment Agency,10,High,0.269,0.216,0,0,9,887,12
Province 1,Japan,Driving,Unskilled,Male,18-24,Recruitment Agency,4,Medium,0.13,0.12,0,0,4,900,24
Province 1,UAE,Healthcare,Skilled,Male,25-34,Recruitment Agency,2,Low,0.022,0.065,0,0,5,403,24
Bagmati,Oman,Driving,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.016,0.068,0,0,6,1420,24
Bagmati,Bahrain,Construction,Unskilled,Male,18-24,Recruitment Agency,7,High,0.224,0.313,0,0,4,314,24
Lumbini,Malaysia,Hospitality,Skilled,Male,25-34,Recruitment Agency,3,Low,0.038,0.053,0,0,6,1457,12
Sudurpashchim,UK,Driving,Skilled,Female,35-44,Recruitment Agency,1,Low,0.014,0.035,0,0,5,1187,12
Sudurpashchim,UK,Construction,Semi-skilled,Male,35-44,Recruitment Agency,7,High,0.162,0.216,1,0,4,1282,36
Sudurpashchim,Oman,Healthcare,Unskilled,Male,35-44,Individual,5,Medium,0.055,0.134,0,0,9,374,36
Sudurpashchim,UAE,Manufacturing,Skilled,Male,25-34,Recruitment Agency,7,High,0.155,0.337,0,1,1,476,24
Bagmati,Oman,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,7,High,0.296,0.269,0,1,7,1464,12
Bagmati,Japan,Manufacturing,Unskilled,Male,25-34,Individual,4,Medium,0.054,0.147,0,0,2,801,12
Madhesh,Oman,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.058,0.175,0,0,7,1331,12
Sudurpashchim,Saudi Arabia,Healthcare,Skilled,Male,35-44,Recruitment Agency,4,Medium,0.084,0.157,0,0,8,1401,24
Karnali,Malaysia,Hospitality,Skilled,Male,25-34,Recruitment Agency,5,Medium,0.082,0.109,0,0,3,999,24
Province 1,Kuwait,Hospitality,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.109,0.127,0,0,3,1153,24
Province 1,UK,Driving,Unskilled,Male,35-44,Recruitment Agency,2,Low,0.029,0.051,0,0,6,793,36
Madhesh,UAE,Healthcare,Skilled,Male,18-24,Recruitment Agency,4,Medium,0.132,0.15,0,0,5,641,12
Province 1,Oman,Manufacturing,Semi-skilled,Male,35-44,Recruitment Agency,3,Low,0.03,0.054,0,0,2,1319,36
Province 1,Saudi Arabia,Cleaning,Semi-skilled,Male,35-44,Recruitment Agency,4,Medium,0.134,0.144,0,0,7,922,36
Karnali,Kuwait,Construction,Unskilled,Male,25-34,Recruitment Agency,10,High,0.239,0.208,0,0,5,372,12
Province 1,Qatar,Construction,Skilled,Male,35-44,Recruitment Agency,6,Medium,0.075,0.182,0,0,3,1367,24
Province 1,Qatar,Domestic Work,Skilled,Male,25-34,Recruitment Agency,6,Medium,0.146,0.176,0,0,8,765,12
Sudurpashchim,UK,Construction,Skilled,Male,25-34,Recruitment Agency,5,Medium,0.109,0.2,0,1,7,436,12
Madhesh,Bahrain,Cleaning,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.096,0.152,0,0,2,430,24
Madhesh,Bahrain,Healthcare,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.104,0.166,0,0,2,610,12
Madhesh,Bahrain,Cleaning,Unskilled,Female,18-24,Recruitment Agency,6,Medium,0.057,0.101,1,0,8,676,24
Province 1,Bahrain,Hospitality,Skilled,Male,35-44,Recruitment Agency,1,Low,0.029,0.038,0,0,5,884,12
Province 1,Japan,Hospitality,Unskilled,Female,45+,Recruitment Agency,2,Low,0.02,0.055,0,0,2,1476,24
Gandaki,Japan,Hospitality,Skilled,Male,18-24,Recruitment Agency,1,Low,0.031,0.034,0,0,6,353,36
Province 1,South Korea,Manufacturing,Semi-skilled,Male,25-34,Recruitment Agency,5,Medium,0.09,0.176,0,0,8,1192,12
Province 1,Malaysia,Driving,Skilled,Male,18-24,Recruitment Agency,3,Low,0.021,0.049,0,0,9,1254,12
Gandaki,Oman,Manufacturing,Skilled,Male,35-44,Regularisation,2,Low,0.048,0.027,0,0,3,997,12
Madhesh,Japan,Manufacturing,Skilled,Male,18-24,Recruitment Agency,5,Medium,0.137,0.125,0,0,5,1493,12
Bagmati,Oman,Hospitality,Unskilled,Male,18-24,Recruitment Agency,3,Low,0.029,0.073,0,0,2,655,12
Lumbini,Bahrain,Domestic Work,Unskilled,Male,25-34,Individual,5,Medium,0.106,0.112,0,0,3,713,12
Province 1,UAE,Healthcare,Unskilled,Male,25-34,Individual,5,Medium,0.06,0.194,0,0,6,700,12
Province 1,Oman,Domestic Work,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.147,0.197,0,1,1,1178,12
Bagmati,UK,Healthcare,Unskilled,Male,35-44,Recruitment Agency,2,Low,0.048,0.026,0,0,2,1273,12
Bagmati,Saudi Arabia,Construction,Skilled,Male,25-34,Recruitment Agency,6,Medium,0.144,0.142,0,0,1,869,24
Sudurpashchim,UAE,Cleaning,Unskilled,Male,45+,Recruitment Agency,7,High,0.28,0.271,0,0,2,498,24
Gandaki,Kuwait,Hospitality,Skilled,Male,18-24,Recruitment Agency,3,Low,0.029,0.027,0,0,9,1255,12
Karnali,Kuwait,Cleaning,Semi-skilled,Male,25-34,Recruitment Agency,5,Medium,0.065,0.146,0,0,9,1100,36
Province 1,Japan,Manufacturing,Unskilled,Male,18-24,Recruitment Agency,4,Medium,0.06,0.157,0,0,8,541,12
Madhesh,Qatar,Construction,Skilled,Male,18-24,Recruitment Agency,8,High,0.162,0.26,0,0,2,405,12
Province 1,Japan,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.144,0.105,0,0,4,410,24
Sudurpashchim,Malaysia,Hospitality,Semi-skilled,Male,35-44,Recruitment Agency,6,Medium,0.114,0.153,1,0,9,421,12
Karnali,Malaysia,Cleaning,Unskilled,Male,18-24,Recruitment Agency,8,High,0.157,0.224,0,0,3,1223,12
Bagmati,Oman,Healthcare,Unskilled,Male,35-44,Recruitment Agency,2,Low,0.045,0.064,0,0,4,1255,12
Province 1,Saudi Arabia,Construction,Unskilled,Male,25-34,Regularisation,10,High,0.24,0.319,0,0,3,829,24
Sudurpashchim,Qatar,Manufacturing,Skilled,Male,45+,Recruitment Agency,6,Medium,0.068,0.124,0,0,6,680,12
Sudurpashchim,South Korea,Hospitality,Semi-skilled,Male,35-44,Individual,4,Medium,0.081,0.14,0,0,4,600,12
Sudurpashchim,UK,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.084,0.183,0,0,6,1444,24
Sudurpashchim,Kuwait,Hospitality,Unskilled,Male,18-24,Recruitment Agency,7,High,0.28,0.231,1,0,4,581,12
Sudurpashchim,Saudi Arabia,Driving,Unskilled,Male,18-24,Regularisation,6,Medium,0.101,0.104,0,1,2,516,24
Province 1,Bahrain,Healthcare,Unskilled,Male,18-24,Recruitment Agency,4,Medium,0.117,0.114,0,0,7,1331,36
Province 1,Bahrain,Cleaning,Unskilled,Male,45+,Recruitment Agency,3,Low,0.02,0.06,1,0,8,602,12
Gandaki,Japan,Construction,Skilled,Male,25-34,Recruitment Agency,5,Medium,0.144,0.183,0,1,6,874,36
Province 1,South Korea,Cleaning,Skilled,Male,35-44,Recruitment Agency,0,Low,0.014,0.059,0,0,9,1150,24
Province 1,Japan,Driving,Semi-skilled,Male,25-34,Recruitment Agency,3,Low,0.035,0.057,0,0,1,590,12
Madhesh,Saudi Arabia,Driving,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.088,0.186,1,0,5,603,12
Gandaki,Malaysia,Healthcare,Unskilled,Male,18-24,Recruitment Agency,5,Medium,0.122,0.196,1,0,9,1014,12
Gandaki,Kuwait,Cleaning,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.112,0.152,0,0,4,969,24
Province 1,Malaysia,Domestic Work,Unskilled,Male,18-24,Recruitment Agency,9,High,0.279,0.32,0,1,8,335,12
Karnali,Bahrain,Driving,Semi-skilled,Male,25-34,Recruitment Agency,4,Medium,0.061,0.1,0,0,8,677,12
Madhesh,Japan,Construction,Unskilled,Male,25-34,Recruitment Agency,9,High,0.26,0.328,0,1,7,541,12
Province 1,Saudi Arabia,Hospitality,Skilled,Male,25-34,Recruitment Agency,2,Low,0.017,0.039,0,0,9,1220,36
Bagmati,Bahrain,Cleaning,Skilled,Male,45+,Recruitment Agency,0,Low,0.039,0.062,0,0,7,920,12
Lumbini,Qatar,Hospitality,Unskilled,Male,25-34,Recruitment Agency,7,High,0.202,0.293,0,1,5,1075,24
Madhesh,Saudi Arabia,Driving,Unskilled,Male,25-34,Recruitment Agency,8,High,0.25,0.349,0,0,8,961,12
Gandaki,Kuwait,Cleaning,Skilled,Male,25-34,Recruitment Agency,3,Low,0.031,0.026,0,0,4,814,36
Lumbini,Bahrain,Hospitality,Skilled,Male,25-34,Recruitment Agency,0,Low,0.044,0.051,0,0,6,1037,12
Gandaki,Qatar,Healthcare,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.085,0.124,0,0,2,610,12
Karnali,Oman,Hospitality,Skilled,Male,25-34,Recruitment Agency,3,Low,0.026,0.052,0,0,3,1330,12
Province 1,Kuwait,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,7,High,0.294,0.286,0,0,1,1433,24
Karnali,Malaysia,Manufacturing,Skilled,Male,18-24,Recruitment Agency,5,Medium,0.087,0.107,0,0,4,1288,12
Karnali,UAE,Hospitality,Unskilled,Male,18-24,Regularisation,7,High,0.267,0.269,1,0,9,1282,12
Bagmati,Kuwait,Construction,Skilled,Male,25-34,Regularisation,7,High,0.254,0.209,0,0,4,1119,24
Karnali,Bahrain,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,8,High,0.248,0.253,1,0,5,809,12
Karnali,Kuwait,Driving,Skilled,Male,25-34,Individual,5,Medium,0.064,0.154,0,0,2,472,12
Province 1,Saudi Arabia,Construction,Semi-skilled,Male,35-44,Recruitment Agency,10,High,0.172,0.219,0,0,4,853,24
Lumbini,Qatar,Construction,Unskilled,Male,25-34,Recruitment Agency,9,High,0.253,0.266,1,0,5,1014,12
Bagmati,Oman,Construction,Skilled,Male,25-34,Recruitment Agency,3,Low,0.016,0.064,0,0,1,707,12
Province 1,Kuwait,Hospitality,Skilled,Male,35-44,Recruitment Agency,2,Low,0.05,0.078,0,0,5,649,24
Madhesh,Oman,Healthcare,Unskilled,Female,45+,Recruitment Agency,6,Medium,0.128,0.123,1,0,4,468,36
Sudurpashchim,UAE,Domestic Work,Skilled,Male,35-44,Recruitment Agency,7,High,0.24,0.287,0,1,1,1235,12
Province 1,South Korea,Manufacturing,Semi-skilled,Male,18-24,Recruitment Agency,4,Medium,0.144,0.124,0,0,3,421,24
Sudurpashchim,Bahrain,Construction,Unskilled,Male,35-44,Recruitment Agency,7,High,0.263,0.269,0,0,6,961,36
Karnali,UAE,Domestic Work,Unskilled,Male,18-24,Recruitment Agency,10,High,0.295,0.273,0,0,1,995,24
Karnali,Saudi Arabia,Healthcare,Skilled,Male,18-24,Recruitment Agency,6,Medium,0.138,0.143,0,0,3,748,12
Bagmati,UK,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.112,0.119,0,1,6,1335,24
Karnali,South Korea,Domestic Work,Skilled,Male,25-34,Recruitment Agency,6,Medium,0.134,0.147,0,0,8,1313,12
Lumbini,Oman,Cleaning,Unskilled,Male,35-44,Recruitment Agency,3,Low,0.035,0.041,0,0,3,635,12
Gandaki,Malaysia,Driving,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.077,0.183,1,0,6,1440,24
Bagmati,Malaysia,Driving,Unskilled,Male,35-44,Recruitment Agency,5,Medium,0.087,0.106,0,0,1,700,24
Gandaki,Oman,Healthcare,Skilled,Male,25-34,Regularisation,0,Low,0.048,0.032,0,0,6,1009,12
Lumbini,Saudi Arabia,Cleaning,Unskilled,Male,18-24,Recruitment Agency,6,Medium,0.137,0.184,0,0,6,937,24
Madhesh,Saudi Arabia,Construction,Skilled,Male,18-24,Recruitment Agency,8,High,0.174,0.292,0,0,8,1175,12
Karnali,Bahrain,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,7,High,0.191,0.314,1,0,8,895,24
Bagmati,South Korea,Cleaning,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.059,0.124,0,0,5,791,24
Karnali,South Korea,Cleaning,Skilled,Male,25-34,Recruitment Agency,3,Low,0.039,0.031,0,0,9,460,12
Gandaki,UK,Construction,Skilled,Male,25-34,Recruitment Agency,3,Low,0.049,0.034,0,0,2,1265,12
Madhesh,Qatar,Domestic Work,Unskilled,Female,25-34,Recruitment Agency,10,High,0.25,0.269,0,1,8,870,12
Bagmati,Qatar,Healthcare,Skilled,Male,18-24,Recruitment Agency,3,Low,0.04,0.021,0,0,9,979,36
Madhesh,Qatar,Healthcare,Semi-skilled,Male,25-34,Recruitment Agency,8,High,0.286,0.281,0,0,2,1008,36
Gandaki,UK,Hospitality,Skilled,Male,18-24,Recruitment Agency,0,Low,0.022,0.059,0,0,6,685,12
Bagmati,Saudi Arabia,Manufacturing,Unskilled,Female,25-34,Recruitment Agency,7,High,0.24,0.205,0,0,6,665,12
Province 1,Bahrain,Construction,Unskilled,Female,45+,Regularisation,6,Medium,0.123,0.132,0,1,5,430,12
Province 1,Malaysia,Domestic Work,Unskilled,Male,35-44,Recruitment Agency,9,High,0.178,0.329,0,1,2,1242,24
Province 1,Kuwait,Domestic Work,Skilled,Male,35-44,Recruitment Agency,5,Medium,0.067,0.171,0,1,9,606,12
Madhesh,South Korea,Healthcare,Skilled,Male,25-34,Individual,1,Low,0.042,0.071,0,0,3,1235,12
Sudurpashchim,Bahrain,Driving,Skilled,Male,25-34,Recruitment Agency,2,Low,0.021,0.059,0,0,3,1248,24
Karnali,Malaysia,Hospitality,Unskilled,Male,35-44,Individual,6,Medium,0.14,0.165,0,0,6,441,24
Karnali,Saudi Arabia,Manufacturing,Skilled,Male,35-44,Recruitment Agency,6,Medium,0.054,0.174,0,0,3,1198,24
Province 1,Malaysia,Cleaning,Skilled,Male,25-34,Recruitment Agency,3,Low,0.035,0.052,0,0,4,1235,12
Province 1,Qatar,Hospitality,Unskilled,Male,25-34,Individual,7,High,0.184,0.31,0,0,6,1450,24
Lumbini,Qatar,Driving,Unskilled,Male,18-24,Recruitment Agency,6,Medium,0.136,0.152,0,1,9,1358,24
Province 1,Japan,Cleaning,Skilled,Male,25-34,Recruitment Agency,0,Low,0.027,0.066,0,0,3,804,24
Gandaki,Bahrain,Healthcare,Unskilled,Male,25-34,Recruitment Agency,2,Low,0.049,0.036,0,0,6,513,12
Province 1,Oman,Domestic Work,Skilled,Male,25-34,Recruitment Agency,3,Low,0.049,0.04,0,0,8,952,12
Province 1,Qatar,Driving,Skilled,Male,25-34,Recruitment Agency,2,Low,0.024,0.068,0,0,9,1116,24
Lumbini,Saudi Arabia,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,7,High,0.251,0.207,1,0,3,883,36
Lumbini,Qatar,Cleaning,Skilled,Female,18-24,Recruitment Agency,2,Low,0.01,0.058,0,0,2,1289,24
Gandaki,UAE,Cleaning,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.057,0.108,0,0,2,1209,24
Karnali,South Korea,Construction,Unskilled,Male,18-24,Recruitment Agency,9,High,0.168,0.335,1,1,3,534,12
Lumbini,UK,Cleaning,Unskilled,Male,18-24,Recruitment Agency,4,Medium,0.097,0.182,0,0,7,372,12
Madhesh,UAE,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,9,High,0.215,0.248,0,0,1,978,12
Gandaki,Kuwait,Healthcare,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.145,0.134,1,0,1,1180,24
Lumbini,Japan,Domestic Work,Skilled,Male,18-24,Recruitment Agency,3,Low,0.028,0.061,1,0,4,1478,12
Bagmati,UK,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.099,0.113,0,0,6,1085,24
Province 1,Malaysia,Construction,Unskilled,Male,25-34,Recruitment Agency,8,High,0.173,0.283,0,0,2,1432,12
Province 1,Kuwait,Driving,Skilled,Male,25-34,Recruitment Agency,3,Low,0.032,0.041,0,0,4,734,24
Bagmati,UAE,Driving,Semi-skilled,Male,35-44,Recruitment Agency,4,Medium,0.123,0.115,0,0,5,566,12
Sudurpashchim,Oman,Cleaning,Skilled,Male,35-44,Recruitment Agency,0,Low,0.042,0.037,0,0,4,1163,12
Sudurpashchim,UK,Hospitality,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.089,0.151,0,0,2,903,24
Sudurpashchim,Malaysia,Healthcare,Skilled,Male,25-34,Recruitment Agency,2,Low,0.012,0.02,0,0,3,742,12
Sudurpashchim,Bahrain,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,8,High,0.281,0.279,0,0,3,995,12
Karnali,Saudi Arabia,Manufacturing,Unskilled,Female,25-34,Recruitment Agency,10,High,0.15,0.207,1,1,8,487,24
Sudurpashchim,Qatar,Hospitality,Skilled,Male,25-34,Recruitment Agency,5,Medium,0.099,0.108,1,0,3,1209,24
Lumbini,UAE,Cleaning,Skilled,Male,35-44,Recruitment Agency,3,Low,0.013,0.05,0,0,8,410,12
Madhesh,Bahrain,Manufacturing,Skilled,Female,25-34,Recruitment Agency,4,Medium,0.077,0.102,0,0,5,1376,12
Province 1,Oman,Healthcare,Skilled,Male,25-34,Recruitment Agency,0,Low,0.028,0.069,0,0,4,352,24
Karnali,Malaysia,Cleaning,Skilled,Male,35-44,Recruitment Agency,5,Medium,0.066,0.188,0,0,9,1290,12
Lumbini,UK,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,7,High,0.237,0.27,1,0,9,876,12
Province 1,UAE,Hospitality,Semi-skilled,Female,25-34,Recruitment Agency,6,Medium,0.093,0.191,1,0,1,931,24
Sudurpashchim,Bahrain,Cleaning,Skilled,Male,25-34,Recruitment Agency,0,Low,0.021,0.028,0,0,3,1109,12
Karnali,Bahrain,Hospitality,Skilled,Male,18-24,Recruitment Agency,2,Low,0.035,0.066,0,0,4,330,24
Province 1,South Korea,Driving,Unskilled,Male,18-24,Recruitment Agency,2,Low,0.042,0.065,0,0,3,1351,36
Gandaki,Kuwait,Hospitality,Skilled,Male,18-24,Recruitment Agency,1,Low,0.021,0.042,0,0,5,857,12
Karnali,Japan,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,8,High,0.155,0.31,0,0,9,1039,12
Madhesh,Oman,Construction,Unskilled,Male,35-44,Recruitment Agency,10,High,0.183,0.22,1,0,9,1457,12
Lumbini,South Korea,Construction,Skilled,Male,25-34,Recruitment Agency,3,Low,0.025,0.02,0,0,9,459,24
Province 1,Bahrain,Construction,Unskilled,Male,25-34,Recruitment Agency,8,High,0.195,0.21,0,0,7,815,36
Province 1,Bahrain,Cleaning,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.146,0.108,0,0,9,806,12
Bagmati,Kuwait,Hospitality,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.131,0.195,0,1,2,1093,12
Lumbini,Malaysia,Hospitality,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.146,0.153,0,1,6,897,24
Karnali,UK,Driving,Unskilled,Male,35-44,Recruitment Agency,5,Medium,0.136,0.148,0,0,2,1162,12
Karnali,South Korea,Hospitality,Skilled,Female,25-34,Recruitment Agency,3,Low,0.049,0.054,0,0,6,453,12
Gandaki,Saudi Arabia,Cleaning,Skilled,Female,45+,Recruitment Agency,4,Medium,0.09,0.195,0,0,4,794,12
Bagmati,Bahrain,Construction,Unskilled,Male,35-44,Recruitment Agency,7,High,0.278,0.29,0,0,5,469,12
Madhesh,Bahrain,Manufacturing,Unskilled,Male,18-24,Recruitment Agency,6,Medium,0.098,0.166,0,0,3,428,12
Lumbini,Bahrain,Construction,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.142,0.195,0,0,4,992,12
Gandaki,Qatar,Domestic Work,Skilled,Male,18-24,Individual,7,High,0.226,0.233,1,0,9,1032,12
Bagmati,Japan,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.078,0.135,0,0,4,1090,12
Sudurpashchim,UAE,Hospitality,Unskilled,Male,25-34,Recruitment Agency,8,High,0.239,0.205,0,0,1,1006,12
Bagmati,Japan,Healthcare,Unskilled,Male,25-34,Individual,3,Low,0.043,0.051,0,0,5,980,12
Province 1,Oman,Driving,Unskilled,Female,25-34,Recruitment Agency,4,Medium,0.07,0.101,1,0,6,719,24
Lumbini,Bahrain,Domestic Work,Unskilled,Male,18-24,Recruitment Agency,5,Medium,0.075,0.127,0,0,8,1345,12
Lumbini,Japan,Construction,Unskilled,Male,35-44,Recruitment Agency,7,High,0.256,0.225,0,1,9,1084,24
